arabic_full,arabic_word,transliteration,english,category,type,notes,dialect,audio_path
تكلم (تكَلّم),,takallam,To speak / talk (Root/Infinitive),Verb,-,,Both,
يتكلم,,yitkallam,He speaks / talks,Verb,Present (He),,Saudi,
تتكلم,,titkallam,You speak / talk,Verb,Present (You),,Saudi,
لا تتكلم,,laa titkallam,Don’t speak / talk,Verb,Imperative Negative (You),,Saudi,
نتكلم,,nitkallam,We talk,Verb,Present (We),,Saudi,
يتكلموا,,yitkallamu,They speak / were speaking (used with Kaanu),Verb,Present (They - used in Past Continuous),,Saudi,
اتكلمت,,atkallamt,I talked / spoke,Verb,Past (I),,Saudi,
أتكلم,,atkallam,I speak / to speak (used after Abgha/Ma li khilq),Verb,Present (I) / Infinitive,,Saudi,
كلم (كلّم),,kallim,To talk to someone / tell (Root/Infinitive - more one-sided),Verb,-,,Saudi,
كلم,,Kallim,Talk to / tell,Verb,Imperative (You),,Saudi,
كلمت,,kallamt,I talked to / told,Verb,Past (I),,Saudi,
كلمها,,Kallimha,Talk to her / tell her,Verb,Imperative (You + her object pronoun),,Saudi,
قال (قال),,qaal,To say / tell (Root),Verb,-,,Both,
قال,,qaal,He said,Verb,Past (He),,Saudi,
قالت,,qaalat,She said,Verb,Past (She),,Saudi,
يقول,,yiquul,He says / is saying,Verb,Present (He),,Saudi,
تقول,,tiquul,You say / tell,Verb,Present (You) / Infinitive (used after Tabi/Tibgha),,Saudi,
قلت,,qult,I said / told,Verb,Past (I),,Saudi,
قال لك,,qallak,He told you,Verb,Past (He + you object pronoun),,Saudi,
لا تقول,,laa tiquul,Don’t tell,Verb,Imperative Negative (You),,Saudi,
تدري,,tidri,She knows,Verb,Present (She - used with Maa),,Saudi,
أدري,,adri,I know,Verb,Present (I),,Saudi,
ما أدري / مدري,,maa adri / madri,I don’t know,Verb,Present Negative (I) / Casual Short Form,,Saudi,
طلع (طلع),,tiliʿ,To turn out (Root),Verb,-,,Saudi,
طلع,,tiliʿ,It turned out,Verb,Past (He/It),,Saudi,
كان (كان),,kaan,To be / was doing (Root/Marker),Verb,-,,Saudi,
كانوا,,kaanu,They were,Verb,Past (They),,Saudi,
كنت,,kunt,I was,Verb,Past (I),,Saudi,
كانت,,kaanat,She was / It was (feminine),Verb,Past (She/It),,Saudi,
كنا,,kunna,We were,Verb,Past (We),,Saudi,
ما كان,,maa kaan,There wasn't / It wasn't,Verb,Past Negative (He/It),,Saudi,
أبغى (بغى),,abgha (baghaa),To want (Root/I form),Verb,-,,Saudi,
أبغى,,abgha,I want,Verb,Present (I),,Saudi,
تبغى,,tibgha,You want,Verb,Present (You),,Saudi,
تبغاه,,tibghaah,You want it,Verb,Present (You + it object pronoun),,Saudi,
تبي (بغي/بغى),,tabi (baghaa),To want (Shorter Root/I form variant),Verb,-,,Saudi,
تبي,,tabi,You want,Verb,Present (You - shorter variant),,Saudi,
ما أبي / ما أبغى,,maa abi / maa abgha,I don't want,Verb,Present Negative (I),,Saudi,
نبغى,,nabgha,We want,Verb,Present (We),,Saudi,
صدق (صدّق),,saddaq (ṣaddaqa),To believe (Root),Verb,-,,Both,
ما صدق,,maa saddaq,He didn't believe,Verb,Past Negative (He),,Both,
أصدق,,aṣaddiq,I believe,Verb,Present (I),,Both,
ما أصدق,,maa aṣaddiq,I can't believe,Verb,Present Negative (I),,Both,
أروح (راح),,aruuḥ (raaḥa),To go (I form / Root),Verb,-,,Saudi,
أروح,,aruuḥ,I go,Verb,Present (I),,Saudi,
تروح,,truuh,You go,Verb,Present (You),,Saudi,
نروح,,nrooḥ,We go,Verb,Present (We),,Saudi,
بنروح,,binruuḥ,We will go,Verb,Future (We),,Saudi,
ذهب (ذهب),,dhahab,To go (Formal Root),Verb,-,,MSA,
ذهبت,,dhahabtu,I went,Verb,Past (I),,MSA,
أتعلم (تعلّم),,atʿallam (taʿallama),To learn (I form / Root),Verb,-,,Saudi,
أتعلم,,atʿallam,I learn / am learning,Verb,Present (I) / Infinitive,,Saudi,
نسافر (سافر),,nsaafir (saafara),To travel (We form / Root),Verb,-,,Both,
حنسافر,,ḥansaafir,We will travel,Verb,Future (We),,Saudi,
أسافر,,asaafir,I travel,Verb,Present (I) / Infinitive,,Both,
أجي (جاء),,aaji (jaaʾa),To come (I form / Root),Verb,-,,Both,
أجي,,aaji,I come / will come,Verb,Present (I),,Saudi,
تجي,,tiji,You come,Verb,Present (You),,Saudi,
تعالى (تعال),,taʿaal (taʿaalaa),To come (Imperative Root),Verb,-,,Saudi,
تعال,,taʿaal,Come,Verb,Imperative (You),,Saudi,
اتصل (اتّصل),,ittiṣal (ittiṣala),To call / connect (Past I form / Root),Verb,-,,Both,
