arabic_full,arabic_word,transliteration,english,category,type,notes,dialect,audio_path
تكلم (تكَلّم),تكلم,takallam,To speak / talk (Root/Infinitive),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تكلم.mp3
يتكلم,يتكلم,yitkallam,He speaks / talks,Verb,Present (He),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\يتكلم.mp3
تتكلم,تتكلم,titkallam,You speak / talk,Verb,Present (You),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تتكلم.mp3
لا تتكلم,لا تتكلم,laa titkallam,Don’t speak / talk,Verb,Imperative Negative (You),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\لا_تتكلم.mp3
نتكلم,نتكلم,nitkallam,We talk,Verb,Present (We),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نتكلم.mp3
يتكلموا,يتكلموا,yitkallamu,They speak / were speaking (used with Kaanu),Verb,Present (They - used in Past Continuous),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\يتكلموا.mp3
اتكلمت,اتكلمت,atkallamt,I talked / spoke,Verb,Past (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\اتكلمت.mp3
أتكلم,أتكلم,atkallam,I speak / to speak (used after Abgha/Ma li khilq),Verb,Present (I) / Infinitive,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أتكلم.mp3
كلم (كلّم),كلم,kallim,To talk to someone / tell (Root/Infinitive - more one-sided),Verb,-,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كلم.mp3
كلم,كلم,Kallim,Talk to / tell,Verb,Imperative (You),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كلم.mp3
كلمت,كلمت,kallamt,I talked to / told,Verb,Past (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كلمت.mp3
كلمها,كلمها,Kallimha,Talk to her / tell her,Verb,Imperative (You + her object pronoun),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كلمها.mp3
قال (قال),قال,qaal,To say / tell (Root),Verb,-,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قال.mp3
قال,قال,qaal,He said,Verb,Past (He),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قال.mp3
قالت,قالت,qaalat,She said,Verb,Past (She),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قالت.mp3
يقول,يقول,yiquul,He says / is saying,Verb,Present (He),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\يقول.mp3
تقول,تقول,tiquul,You say / tell,Verb,Present (You) / Infinitive (used after Tabi/Tibgha),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تقول.mp3
قلت,قلت,qult,I said / told,Verb,Past (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قلت.mp3
قال لك,قال لك,qallak,He told you,Verb,Past (He + you object pronoun),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قال_لك.mp3
لا تقول,لا تقول,laa tiquul,Don’t tell,Verb,Imperative Negative (You),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\لا_تقول.mp3
تدري,تدري,tidri,She knows,Verb,Present (She - used with Maa),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تدري.mp3
أدري,أدري,adri,I know,Verb,Present (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أدري.mp3
ما أدري / مدري,ما أدري / مدري,maa adri / madri,I don’t know,Verb,Present Negative (I) / Casual Short Form,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_أدري___مدري.mp3
طلع (طلع),طلع,tiliʿ,To turn out (Root),Verb,-,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\طلع.mp3
طلع,طلع,tiliʿ,It turned out,Verb,Past (He/It),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\طلع.mp3
كان (كان),كان,kaan,To be / was doing (Root/Marker),Verb,-,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كان.mp3
كانوا,كانوا,kaanu,They were,Verb,Past (They),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كانوا.mp3
كنت,كنت,kunt,I was,Verb,Past (I),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كنت.mp3
كانت,كانت,kaanat,She was / It was (feminine),Verb,Past (She/It),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كانت.mp3
كنا,كنا,kunna,We were,Verb,Past (We),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كنا.mp3
ما كان,ما كان,maa kaan,There wasn't / It wasn't,Verb,Past Negative (He/It),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_كان.mp3
أبغى (بغى),أبغى,abgha (baghaa),To want (Root/I form),Verb,-,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أبغى.mp3
